,id,Year,Name,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3
3170,41,2020,Class of '83,98 min,"Action, Crime, Drama",5.8,5084,Atul Sabharwal,Bobby Deol,Anup Soni,Joy Sengupta
13173,42,2020,Shubh Mangal Zyada Saavdhan,117 min,"Comedy, Romance",5.8,8208,Hitesh Kewalya,Ayushmann Khurrana,Jitendra Kumar,Gajraj Rao
1058,43,2020,Angrezi Medium,145 min,"Comedy, Drama",7.3,11700,Homi Adajania,Irrfan Khan,Radhika Madan,Kareena Kapoor
3081,44,2020,Choked,114 min,Drama,5.8,4826,Anurag Kashyap,Saiyami Kher,Roshan Mathew,Amruta Subhash
15213,45,2020,Yeh Ballet,117 min,Drama,7.6,1126,Sooni Taraporevala,Julian Sands,Jim Sarbh,Sarah Jane Dias
5404,46,2020,Halahal,97 min,"Crime, Drama, Mystery",7.1,1441,Randeep Jha,Barun Sobti,Sachin Khedekar,Manu Rishi Chadha
10761,47,2020,Pepper Chicken,,Thriller,6.8,281,Ratan Sil Sarma,Dipannita Sharma,Boloram Das,Monuj Borkotoky
3829,48,2020,Dil Bechara,101 min,"Comedy, Drama, Romance",6.6,117377,Mukesh Chhabra,Sushant Singh Rajput,Sanjana Sanghi,Sahil Vaid
9742,49,2020,My Client's Wife,106 min,"Mystery, Thriller",6.2,672,Prabhakar Meena Bhaskar Pant,Sharib Hashmi,Pushkar Bhaskar Pant,Anjali Patil
149,50,2020,A Game Called Relationship,109 min,"Comedy, Romance",6.3,181,Vivek Sharma,Mandy Takhar,Vivek Sharma,Sumit Suri
5078,51,2020,Ghoomketu,108 min,Comedy,5.5,2708,Pushpendra Nath Misra,Nawazuddin Siddiqui,Ragini Khanna,Richa Chadha
9329,52,2020,Milestone,98 min,Drama,6.6,411,Ivan Ayr,Mohinder Gujral,Pavitra Mattoo,Lakshvir Saran
15148,53,2020,Yaara,130 min,"Action, Crime, Drama",6.3,3955,Tigmanshu Dhulia,Vidyut Jammwal,Amit Sadh,Mohommed Ali Shah
3431,54,2020,Darbaan,145 min,Drama,7.5,727,Bipin Nadkarni,Sharib Hashmi,Sharad Kelkar,Mukesh Ramani
2164,55,2020,Bhangra Paa Le,131 min,"Comedy, Drama, Music",6,287,Sneha Taurani,Sunny Kaushal,Rukshar Dhillon,Shriya Pilgaonkar
5512,56,2020,Harami,100 min,"Crime, Drama, Romance",7.7,957,Shyam Madiraju,Emraan Hashmi,Rizwan Shaikh,Dhanshree Patil
1725,57,2020,Bahut Hua Sammaan,125 min,"Comedy, Crime, Drama",7.3,3036,Ashish R. Shukla,Sanjay Mishra,Ram Kapoor,Raghav Juyal
10520,58,2020,Panga,131 min,"Drama, Sport",6.8,5455,Ashwiny Iyer Tiwari,Kangana Ranaut,Jassie Gill,Richa Chadha
8271,59,2020,London Confidental,77 min,"Crime, Drama, Thriller",6.4,1653,Kanwal Sethi,Mouni Roy,Purab Kohli,Kiren Jogi
13384,60,2020,Soorarai Pottru,153 min,Drama,9.1,83029,Sudha Kongara,Suriya,Madhavan,Paresh Rawal
10595,61,2020,Pareeksha,120 min,Drama,8.1,2921,Prakash Jha,Adil Hussain,Priyanka Bose,Shourya Deep
5488,62,2020,Happy Hardy and Heer,123 min,"Comedy, Romance",5.9,580,Raka,Ashwin Dhar,Karen Elliot,Trupti Khamkar
13764,63,2020,Tanhaji: The Unsung Warrior,135 min,"Action, Biography, Drama",7.6,22344,Om Raut,Ajay Devgn,Saif Ali Khan,Sharad Kelkar
2289,64,2020,Bhoot: Part One - The Haunted Ship,114 min,"Horror, Mystery, Thriller",5.4,4236,Bhanu Pratap Singh,Vicky Kaushal,Ashutosh Rana,Meher Vij
862,65,2020,All Ladies Do It,97 min,Thriller,7.9,384,Akhil Gautam,Akhil Gautam,Ajay Bafna,Vikas Sachdeva
5102,66,2020,Ginny Weds Sunny,125 min,"Comedy, Drama, Romance",5.7,3872,Puneet Khanna,Yami Gautam,Vikrant Massey,Ayesha Raza
2790,67,2020,Chaman Bahaar,111 min,"Comedy, Drama",7,5866,Apurva Dhar Badgaiyann,Jitendra Kumar,Ritika Badiani,Bhuvan Arora
13180,68,2020,Shukranu,90 min,Drama,6.4,678,Bishnu Dev Halder,Divyendu Sharma,Shweta Basu Prasad,Sheetal Thakur
3227,69,2020,Cookie,104 min,Horror,6.2,191,Lalit Marathe,Nabeel Ahmed,Amit Ashar,Bhavin Bhanushali
3240,70,2020,Court Martial,120 min,Drama,6.8,179,Sourabh Shrivastava,Karwarkar Bhavika,Saksham Dayma,Rajeev Khandelwal
8381,71,2020,Ludo,149 min,"Action, Comedy, Crime",7.6,32403,Anurag Basu,Pankaj Tripathi,Abhishek Bachchan,Rajkummar Rao
8280,72,2020,Lootcase,132 min,"Comedy, Crime",7.6,15188,Rajesh Krishnan,Kunal Khemu,Rasika Dugal,Vijay Raaz
770,73,2020,AK vs AK,108 min,"Action, Comedy, Crime",6.9,12429,Vikramaditya Motwane,Anil Kapoor,Anurag Kashyap,Sonam Kapoor
1352,74,2020,Atkan Chatkan,126 min,"Drama, Musical",8.2,1763,Shiv Hare,Lydian Nadhaswaram,Sachin Chaudhary,Tamanna Dipak
8752,75,2020,Malang,135 min,"Action, Crime, Drama",6.5,8972,Mohit Suri,Aditya Roy Kapoor,Anil Kapoor,Disha Patani
15162,76,2020,Yahan Sabhi Gyani Hain,115 min,Comedy,5.1,244,Anant Tripathi,Atul Srivastava,Neeraj Sood,Apoorva Arora
14700,77,2020,V,140 min,"Action, Crime, Thriller",6.9,6758,Mohana Krishna Indraganti,Nani,Sudheer Babu Posani,Nivetha Thomas
12851,78,2020,Shakuntala Devi,127 min,"Biography, Drama",6.1,8456,Anu Menon,Vidya Balan,Adi Chugh,Sanya Malhotra
7661,79,2020,Khuda Haafiz,133 min,"Action, Adventure, Drama",7.4,16142,Faruk Kabir,Vidyut Jammwal,Shivaleeka Oberoi,Annu Kapoor
1788,80,2020,Bamfaad,102 min,Romance,7.2,1533,Ranjan Chandel,Aditya Rawal,Shalini Pandey,Vijay Varma
3434,81,2020,Darbar,159 min,"Action, Thriller",6.1,5175,A.R. Murugadoss,Rajinikanth,Nayanthara,Nivetha Thomas
87,82,2020,376 D,128 min,"Crime, Thriller",5.7,252,Gunveen Kaur,Robin Sikarwar,Vivek Kumar,Deeksha Joshi
14634,83,2020,Unpaused,113 min,"Drama, Romance",7,2057,Nikkhil Advani,Avinash Arun,Tannishtha Chatterjee,Krishna D.K.
